task_id	task_type	model_id	context	track	seed	best_epoch	validation_threshold	accuracy	precision	recall	specificity	f1	balanced_accuracy	mcc	auroc	auprc	brier	ece	tp	tn	fp	fn	rc_test_samples	rc_cosine_mean	rc_l2_mean	selected_alpha	pearson_macro	spearman_macro	r2_macro	mae_macro	rmse_macro	panel_code
TES_polyA	binary	CropGenomeFM_step19000_continuation	8192	downstream_cold_genus_pretraining_seen_genus	43	99	0.40035027265548706	0.8251953125	0.8810068649885584	0.751953125	0.8984375	0.8113804004214964	0.8251953125	0.6574829035448745	0.9003219604492188	0.9109607642365867	0.13738517594170097	0.10001959750963325	385	460	52	127	1024	1.0	1.800060272216797e-05							A3
TES_polyA	binary	CropGenomeFM_step19000_continuation	8192	low_homology_sensitivity	43	99	0.40035027265548706	0.8251953125	0.8810068649885584	0.751953125	0.8984375	0.8113804004214964	0.8251953125	0.6574829035448745	0.9003219604492188	0.9109607642365867	0.13738517594170097	0.10001959750963325	385	460	52	127	1024	1.0	1.800060272216797e-05							A3
TES_polyA	binary	CropGenomeFM_step19000_continuation	8192	downstream_cold_genus_pretraining_seen_genus	71	99	0.40035027265548706	0.8251953125	0.8810068649885584	0.751953125	0.8984375	0.8113804004214964	0.8251953125	0.6574829035448745	0.9003219604492188	0.9109607642365867	0.13738517594170097	0.10001959750963325	385	460	52	127	1024	1.0	1.800060272216797e-05							A3
TES_polyA	binary	CropGenomeFM_step19000_continuation	8192	low_homology_sensitivity	71	99	0.40035027265548706	0.8251953125	0.8810068649885584	0.751953125	0.8984375	0.8113804004214964	0.8251953125	0.6574829035448745	0.9003219604492188	0.9109607642365867	0.13738517594170097	0.10001959750963325	385	460	52	127	1024	1.0	1.800060272216797e-05							A3
TES_polyA	binary	CropGenomeFM_step19000_continuation	8192	downstream_cold_genus_pretraining_seen_genus	97	99	0.40035027265548706	0.8251953125	0.8810068649885584	0.751953125	0.8984375	0.8113804004214964	0.8251953125	0.6574829035448745	0.9003219604492188	0.9109607642365867	0.13738517594170097	0.10001959750963325	385	460	52	127	1024	1.0	1.800060272216797e-05							A3
TES_polyA	binary	CropGenomeFM_step19000_continuation	8192	low_homology_sensitivity	97	99	0.40035027265548706	0.8251953125	0.8810068649885584	0.751953125	0.8984375	0.8113804004214964	0.8251953125	0.6574829035448745	0.9003219604492188	0.9109607642365867	0.13738517594170097	0.10001959750963325	385	460	52	127	1024	1.0	1.800060272216797e-05							A3
lncrna_multispecies	binary	CropGenomeFM_step19000_continuation	512	official_dataset_split	13	124	0.430564284324646	0.6561115668580804	0.6342985521717424	0.8010718789407314	0.49880260006842286	0.7079966564502648	0.6499372395045772	0.3156427445608485	0.7139109355336788	0.7091330216028987	0.21437134445305234	0.024487061397832598	2541	1458	1465	631	6095	1.0	0.00014588511839974672							A4
lncrna_multispecies	binary	CropGenomeFM_step19000_continuation	512	official_dataset_split	29	124	0.430564284324646	0.6561115668580804	0.6342985521717424	0.8010718789407314	0.49880260006842286	0.7079966564502648	0.6499372395045772	0.3156427445608485	0.7139109355336788	0.7091330216028987	0.21437134445305234	0.024487061397832598	2541	1458	1465	631	6095	1.0	0.00014588511839974672							A4
lncrna_multispecies	binary	CropGenomeFM_step19000_continuation	512	official_dataset_split	43	124	0.430564284324646	0.6561115668580804	0.6342985521717424	0.8010718789407314	0.49880260006842286	0.7079966564502648	0.6499372395045772	0.3156427445608485	0.7139109355336788	0.7091330216028987	0.21437134445305234	0.024487061397832598	2541	1458	1465	631	6095	1.0	0.00014588511839974672							A4
lncrna_multispecies	binary	CropGenomeFM_step19000_continuation	512	official_dataset_split	71	124	0.430564284324646	0.6561115668580804	0.6342985521717424	0.8010718789407314	0.49880260006842286	0.7079966564502648	0.6499372395045772	0.3156427445608485	0.7139109355336788	0.7091330216028987	0.21437134445305234	0.024487061397832598	2541	1458	1465	631	6095	1.0	0.00014588511839974672							A4
